,room,category,area,capacity
0,B00E - R0001 - General Learning Space - (49.73 SQM) - Teaching Space: 1,Student Space (23),49.73,23
1,B00E - R0002 - General Learning Space - (49.48 SQM) - Teaching Space: 1,Student Space (22),49.48,22
2,B00E - R0003 - General Learning Space - (59.74 SQM) - Teaching Space: 1,Student Space (27),59.74,27
3,B00E - R0007 - General Learning Space - (49.62 SQM) - Teaching Space: 1,Student Space (23),49.62,23
4,B00E - R0015 - Study Space - (13.73 SQM),Not Applicable,13.73,0
5,B00E - R0017 - General Learning Space - (47.17 SQM) - Teaching Space: 1,Student Space (21),47.17,21
6,B00E - R0018 - General Learning Space - (49.48 SQM) - Teaching Space: 1,Student Space (22),49.48,22
7,B00E - R0019 - General Learning Space - (49.12 SQM) - Teaching Space: 1,Student Space (22),49.12,22
8,B00E - R0022 - General Learning Space - (49.23 SQM) - Teaching Space: 1,Student Space (22),49.23,22
9,B00E - R0023 - General Learning Space - (49.5 SQM) - Teaching Space: 1,Student Space (22),49.5,22
10,B00E - R0034 - Seminar - (20.83 SQM),Office (5),20.83,5
11,B00E - R0035 - Seminar - (20.62 SQM),Office (5),20.62,5
12,B00E - R0038 - Movement - (20.7 SQM),Not Applicable,20.7,0
13,B00E - R0039 - Seminar/Study - (20.6 SQM),Office (5),20.6,5
14,B00E - R0040 - Seminar/Study - (20.57 SQM),Office (5),20.57,5
15,B00E - R0041 - Seminar/Study - (20.63 SQM),Office (5),20.63,5
16,B00E - R0042 - Seminar/Study - (29.12 SQM),Office (7),29.12,7
17,B00E - R0043 - Main Area - (439.91 SQM),Not Applicable,439.91,0
18,B00E - R9002 - Staff Kitchen - (17.42 SQM),Office (4),17.42,4
19,B00E - R9008 - Coffee Kiosk - (36.3 SQM),Not Applicable,36.3,0
20,B00E - R9009 - Commonroom - (76.86 SQM),Office (19),76.86,19
21,B00E - R9014 - Staff Study - (372.41 SQM),Office (93),372.41,93
22,B00F - R0002 - Design/Technology L.S. - (76.08 SQM) - Teaching Space: 1,Student Space (35),76.08,35
23,B00F - R0014 - Dark Room - (32.12 SQM),Office (8),32.12,8
24,B00F - R9009 - Computer Learning Space - (56.57 SQM) - Teaching Space: 1,Student Space (26),56.57,26
25,B00F - R9019 - Design/Technology L.S. - (54.08 SQM) - Teaching Space: 1,Student Space (25),54.08,25
26,B00G - R0009 - Multi Media Workshop - (69.34 SQM),Not Applicable,69.34,0
27,B00G - R0014 - Laboratory L.S. - (89 SQM) - Teaching Space: 1,Student Space (41),89.0,41
28,B00G - R0022 - Laboratory L.S. - (89.48 SQM) - Teaching Space: 1,Student Space (41),89.48,41
29,B00G - R0023 - Laboratory L.S. - (89.46 SQM) - Teaching Space: 1,Student Space (41),89.46,41
30,B00G - R0024 - Laboratory L.S. - (89.07 SQM) - Teaching Space: 1,Student Space (41),89.07,41
31,B00G - R0025 - Laboratory L.S. - (89.81 SQM) - Teaching Space: 1,Student Space (41),89.81,41
32,B00G - R0034 - Movement - (13.71 SQM),Not Applicable,13.71,0
33,B00G - R0035 - Preparation - Science - (72.78 SQM),Not Applicable,72.78,0
34,B00G - R0036 - Movement - (14.93 SQM),Not Applicable,14.93,0
35,B00G - R0041 - Movement - (87.72 SQM),Not Applicable,87.72,0
36,B00G - R0042 - General Learning Space - (63.72 SQM) - Teaching Space: 1,Student Space (29),63.72,29
37,B00G - R0043 - Science Laboratory - (93.48 SQM),Student Space (43),93.48,43
38,B00G - R0044 - Science Laboratory - (90.57 SQM),Student Space (42),90.57,42
39,B00G - R0045 - General Learning Space - (56.55 SQM) - Teaching Space: 1,Student Space (26),56.55,26
40,B00G - R0046 - Staff Lounge - (50.24 SQM),Office (12),50.24,12
41,B00G - R0048 - General Learning Space - (56.96 SQM) - Teaching Space: 1,Student Space (26),56.96,26
42,B00G - R0049 - Movement - (14.29 SQM),Not Applicable,14.29,0
43,B00G - R0050 - General Learning Space - (67.1 SQM) - Teaching Space: 1,Student Space (31),67.1,31
44,B00G - R9001 - Design L.S. - (94.64 SQM) - Teaching Space: 1,Student Space (43),94.64,43
45,B00G - R9003 - Materials Workshop - Type 2 - (68.28 SQM),Student Space (31),68.28,31
46,B00G - R9005 - Materials Technology L.S. - (109.65 SQM) - Teaching Space: 1,Student Space (50),109.65,50
